# 143GHz 217GHz 353GHz
9.650799632072448730e-01 9.826794862747192383e-01 9.822303056716918945e-01
9.648502469062805176e-01 9.825718402862548828e-01 9.821145534515380859e-01
9.646198153495788574e-01 9.824638962745666504e-01 9.819985032081604004e-01
9.643886089324951172e-01 9.823555946350097656e-01 9.818820953369140625e-01
9.641568064689636230e-01 9.822469353675842285e-01 9.817653894424438477e-01
9.639242887496948242e-01 9.821379780769348145e-01 9.816483259201049805e-01
9.636909961700439453e-01 9.820286631584167480e-01 9.815309643745422363e-01
9.634570479393005371e-01 9.819189906120300293e-01 9.814132452011108398e-01
9.632224440574645996e-01 9.818090200424194336e-01 9.812952280044555664e-01
9.629871249198913574e-01 9.816986918449401855e-01 9.811768531799316406e-01
9.627511501312255859e-01 9.815880060195922852e-01 9.810581207275390625e-01
9.625144004821777344e-01 9.814770221710205078e-01 9.809390902519226074e-01
9.622769951820373535e-01 9.813656806945800781e-01 9.808197021484375000e-01
9.620389342308044434e-01 9.812539815902709961e-01 9.807000160217285156e-01
9.618001580238342285e-01 9.811419844627380371e-01 9.805799722671508789e-01
9.615606665611267090e-01 9.810296297073364258e-01 9.804595708847045898e-01
9.613205194473266602e-01 9.809169173240661621e-01 9.803389310836791992e-01
9.610796570777893066e-01 9.808038473129272461e-01 9.802178740501403809e-01
9.608381390571594238e-01 9.806904792785644531e-01 9.800965189933776855e-01
9.605959057807922363e-01 9.805768132209777832e-01 9.799748659133911133e-01
9.603529572486877441e-01 9.804627299308776855e-01 9.798527956008911133e-01
9.601094126701354980e-01 9.803483486175537109e-01 9.797304868698120117e-01
9.598650932312011719e-01 9.802336096763610840e-01 9.796078205108642578e-01
9.596201777458190918e-01 9.801185727119445801e-01 9.794847965240478516e-01
9.593744874000549316e-01 9.800031781196594238e-01 9.793614745140075684e-01
9.591282010078430176e-01 9.798874258995056152e-01 9.792378544807434082e-01
9.588811397552490234e-01 9.797713160514831543e-01 9.791138172149658203e-01
9.586334824562072754e-01 9.796549081802368164e-01 9.789895415306091309e-01
9.583851099014282227e-01 9.795382022857666016e-01 9.788649082183837891e-01
9.581360816955566406e-01 9.794210791587829590e-01 9.787399172782897949e-01
9.578863382339477539e-01 9.793036580085754395e-01 9.786146283149719238e-01
9.576359391212463379e-01 9.791859388351440430e-01 9.784890413284301758e-01
9.573848247528076172e-01 9.790678024291992188e-01 9.783630967140197754e-01
9.571331143379211426e-01 9.789493680000305176e-01 9.782367944717407227e-01
9.568806290626525879e-01 9.788305759429931641e-01 9.781102538108825684e-01
9.566275477409362793e-01 9.787114858627319336e-01 9.779832959175109863e-01
9.563737511634826660e-01 9.785920381546020508e-01 9.778560996055603027e-01
9.561192989349365234e-01 9.784722328186035156e-01 9.777285456657409668e-01
9.558641910552978516e-01 9.783520698547363281e-01 9.776006340980529785e-01
9.556083679199218750e-01 9.782316684722900391e-01 9.774724245071411133e-01
9.553518891334533691e-01 9.781108498573303223e-01 9.773439168930053711e-01
9.550947546958923340e-01 9.779897332191467285e-01 9.772150516510009766e-01
9.548369050025939941e-01 9.778682589530944824e-01 9.770858287811279297e-01
9.545784592628479004e-01 9.777464866638183594e-01 9.769563078880310059e-01
9.543192982673645020e-01 9.776243567466735840e-01 9.768264889717102051e-01
9.540594816207885742e-01 9.775018692016601562e-01 9.766963720321655273e-01
9.537990093231201172e-01 9.773790240287780762e-01 9.765658378601074219e-01
9.535378813743591309e-01 9.772558808326721191e-01 9.764350652694702148e-01
9.532760381698608398e-01 9.771324396133422852e-01 9.763039350509643555e-01
9.530135989189147949e-01 9.770086407661437988e-01 9.761725068092346191e-01
9.527504444122314453e-01 9.768844842910766602e-01 9.760407209396362305e-01
9.524866342544555664e-01 9.767600297927856445e-01 9.759086966514587402e-01
9.522221684455871582e-01 9.766351580619812012e-01 9.757763147354125977e-01
9.519571065902709961e-01 9.765100479125976562e-01 9.756435751914978027e-01
9.516912698745727539e-01 9.763845801353454590e-01 9.755105376243591309e-01
9.514248967170715332e-01 9.762587547302246094e-01 9.753771424293518066e-01
9.511578083038330078e-01 9.761326313018798828e-01 9.752434492111206055e-01
9.508900642395019531e-01 9.760061502456665039e-01 9.751094579696655273e-01
9.506216645240783691e-01 9.758793115615844727e-01 9.749751091003417969e-01
9.503526091575622559e-01 9.757521748542785645e-01 9.748404622077941895e-01
9.500828981399536133e-01 9.756247401237487793e-01 9.747055172920227051e-01
9.498125314712524414e-01 9.754969477653503418e-01 9.745702743530273438e-01
9.495415091514587402e-01 9.753687977790832520e-01 9.744346737861633301e-01
9.492698311805725098e-01 9.752403497695922852e-01 9.742987751960754395e-01
9.489975571632385254e-01 9.751115441322326660e-01 9.741625189781188965e-01
9.487245678901672363e-01 9.749824404716491699e-01 9.740259647369384766e-01
9.484509229660034180e-01 9.748529791831970215e-01 9.738891124725341797e-01
9.481766819953918457e-01 9.747232198715209961e-01 9.737519025802612305e-01
9.479017853736877441e-01 9.745931029319763184e-01 9.736143946647644043e-01
9.476262331008911133e-01 9.744626879692077637e-01 9.734765291213989258e-01
9.473500251770019531e-01 9.743319153785705566e-01 9.733384251594543457e-01
9.470732212066650391e-01 9.742008447647094727e-01 9.731999635696411133e-01
9.467957019805908203e-01 9.740693569183349609e-01 9.730612039566040039e-01
9.465175867080688477e-01 9.739376902580261230e-01 9.729220867156982422e-01
9.462388753890991211e-01 9.738056063652038574e-01 9.727826714515686035e-01
9.459594488143920898e-01 9.736731648445129395e-01 9.726429581642150879e-01
9.456793665885925293e-01 9.735404849052429199e-01 9.725029468536376953e-01
9.453987479209899902e-01 9.734073877334594727e-01 9.723626375198364258e-01
9.451174139976501465e-01 9.732740521430969238e-01 9.722219705581665039e-01
9.448354244232177734e-01 9.731403589248657227e-01 9.720809459686279297e-01
9.445528388023376465e-01 9.730063080787658691e-01 9.719396829605102539e-01
9.442696571350097656e-01 9.728719592094421387e-01 9.717980623245239258e-01
9.439857602119445801e-01 9.727372527122497559e-01 9.716560840606689453e-01
9.437012672424316406e-01 9.726023077964782715e-01 9.715138673782348633e-01
9.434161782264709473e-01 9.724669456481933594e-01 9.713713526725769043e-01
9.431304335594177246e-01 9.723313450813293457e-01 9.712284803390502930e-01
9.428439736366271973e-01 9.721953272819519043e-01 9.710853099822998047e-01
9.425569772720336914e-01 9.720590710639953613e-01 9.709417819976806641e-01
9.422693848609924316e-01 9.719224572181701660e-01 9.707980155944824219e-01
9.419810771942138672e-01 9.717854857444763184e-01 9.706538915634155273e-01
9.416921734809875488e-01 9.716482162475585938e-01 9.705094695091247559e-01
9.414026737213134766e-01 9.715106487274169922e-01 9.703646898269653320e-01
9.411125183105468750e-01 9.713727235794067383e-01 9.702196717262268066e-01
9.408217668533325195e-01 9.712345004081726074e-01 9.700742959976196289e-01
9.405303597450256348e-01 9.710959792137145996e-01 9.699286222457885742e-01
9.402383565902709961e-01 9.709571003913879395e-01 9.697826504707336426e-01
